nom_ev;adresse;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture;geo_shape;geo_point_2d
Le Jardin du Dimanche;Square Paul Didier 6 rue du colonel Manhes;Le potager pot à joncs;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;cabane composteur bacs hors sol pour consommable 3 zones de culture avec couche drainante mais que pour non consommables;potagerpotajoncs@gmail.com;;;;;"{""coordinates"": [2.3210957593957797, 48.89553230562329], ""type"": ""Point""}";48.89553230562329, 2.3210957593957797
Jardin des Soupirs;18 passage des Soupirs;Association du passage des Soupirs;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGEVP;composteur cabane mare;jardindessoupirs@gmail.com;;https://jardindessoupirs.wordpress.com/;;;"{""coordinates"": [2.39657904846862, 48.86891426469218], ""type"": ""Point""}";48.86891426469218, 2.39657904846862
Le potager de la Lune;Square Jacques Bidault 18 rue de la Lune;Jardinières et jardiniers du 2éme;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane composteur;potagerdelalune@gmail.com;;;;;"{""coordinates"": [2.3500733576103885, 48.869811142440284], ""type"": ""Point""}";48.869811142440284, 2.3500733576103885
Le Jardin de Théodore;Square Théodore Monod 23 rue du fer à moulin;Le jardin de Théodore (s’est associé l’école Montessori);Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane bacs sacs composteur;jardindetheodore@gmail.com;;;;;"{""coordinates"": [2.3536483959414123, 48.838913111000345], ""type"": ""Point""}";48.838913111000345, 2.3536483959414123
Centre de la Terre;Square Jules Verne 19 bis rue de l'Orillon;Chemins Verts;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur armoire à outils;asso.cheminsverts@gmail.com;;https://lecentredelaterre.wordpress.com;;;"{""coordinates"": [2.3750646312449724, 48.87050713662478], ""type"": ""Point""}";48.87050713662478, 2.3750646312449724
Jardin partagé solidaire Cavaillé Coll;10 place Franz Liszt;Emmaüs Solidarité;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;stabilisé - coffre;jardinsinsertion@emmaus.asso.fr;;https://www.emmaus-solidarite.org/;;;"{""coordinates"": [2.3515113779554366, 48.87829453011137], ""type"": ""Point""}";48.87829453011137, 2.3515113779554366
La Note Bleue;Square Frédéric Rossif 175 rue de Charenton;Graine de partage(en partenariat avec La Note bleue );Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane table de jardinage;grainedp@yahoo.fr;;http://grainedepartage.com/;;;"{""coordinates"": [2.3850883738271023, 48.84356851346513], ""type"": ""Point""}";48.84356851346513, 2.3850883738271023
Le Trèfle d’Eole;Jardins d’Eole 45 rue d'Aubervilliers;Trèfle d’Eole;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;ZUV;composteur cabane une jardinière-bassin pour plantes aquatiques;contact@trefledeole.fr;;https://www.trefledeole.fr/;;;"{""coordinates"": [2.3668388619165817, 48.88725567457575], ""type"": ""Point""}";48.88725567457575, 2.3668388619165817
Jardin de la rue du Maroc;26 rue du Maroc;Vivre ensemble à Maroc-Tanger;;Autre;Hors Ville de Paris;RIVP;ZUGEVP;;vivreensemble2@wanadoo.fr;;;;;"{""coordinates"": [2.3685557664814367, 48.88686762636342], ""type"": ""Point""}";48.88686762636342, 2.3685557664814367
Le jardin enchanté;5 rue Henri Ribiere;Amicale Ribière;;Autre;Hors Ville de Paris;Paris Habitat;ZUGEVP;composteur;lejardinenchante19@gmail.com;;;;;"{""coordinates"": [2.3952750234798104, 48.87649017598806], ""type"": ""Point""}";48.87649017598806, 2.3952750234798104
Aligresse;Jardin Léo Ferré 3 impasse Druinot;Commune Libre d’Aligre;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGELV;composteur cabane Récupération d'eau mare keyhole coffre à outils serre;contact@cl-aligre.org;lacommune.aligre@orange.fr;http://www.cl-aligre.org;;;"{""coordinates"": [2.380656385506315, 48.84983063317294], ""type"": ""Point""}";48.84983063317294, 2.380656385506315
Le jardin du 12;22 rue Georges et Mai Politzer;Esperem;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGELV;composteur cabane Récupération d'eau toilettes sèches jardin en trou de serrure (keyhole) gites à insectes nichoirs à oiseaux;aurelia.boulland@esperem.org;;https://www.esperem.org;;;"{""coordinates"": [2.391631080927359, 48.84186688110304], ""type"": ""Point""}";48.84186688110304, 2.391631080927359
Jardin Les Mots et Merveilles;Square Paul Nizan 9 rue de l'industrie;Les Peupliers;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane;lespeupliers.association@gmail.com;;;;;"{""coordinates"": [2.357190495203628, 48.82254063426508], ""type"": ""Point""}";48.82254063426508, 2.357190495203628
Le p'tit lopin;Ecole Du breuil Route de la Ferme;Le p'tit lopin;;Conseil de Paris;Ville de Paris;DEVE;;;Ptit.lopin@gmail.com;;;;;"{""coordinates"": [2.4540848845748404, 48.82197837664164], ""type"": ""Point""}";48.82197837664164, 2.4540848845748404
Potager des deux moulins;jardin des Deux Moulins 78 avenue Edison;;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;bacs abri panneau d'affichage;potagerdes2moulins@gmail.com;;;;;"{""coordinates"": [2.357659605113903, 48.83046646361328], ""type"": ""Point""}";48.83046646361328, 2.357659605113903
jardin les moufettes;3 passage des Patriarches;Les moufettes;;Conseil d'arrondissement;Ville de Paris;DEVE;;24 m² de jardinières  maçonnées - 11 jardinières bacs bois et 1 PMR - 58 m² de  pavés enherbés - Un local de stockage de 9.40 m² -  Un point d’eau;jardinlesmouffettes@gmail.com;;;;;"{""coordinates"": [2.3503522771858063, 48.8410895371343], ""type"": ""Point""}";48.8410895371343, 2.3503522771858063
Ombrelle et coccinelle;159 rue Croix Nivert;Ombrelle et coccinelle;Autre;Autre;Hors Ville de Paris;Paris Habitat;Emplacement réservé en vue de la réalisation de logement;cabane composteur;contact@ombcoc.fr;;https://ombrelleetcoccinelle.wordpress.com/;;;"{""coordinates"": [2.290746184591024, 48.840321705223396], ""type"": ""Point""}";48.840321705223396, 2.290746184591024
Jardin de l’Aqueduc;2 rue de l'Empreur Valentinien;Les Jardiniers de l’aqueduc;;Conseil de Paris;Ville de Paris;DEVE;ZUV;composteur cabane mare ruches;jardin.aqueduc@gmail.com;;http://jardin-aqueduc.fr/;;;"{""coordinates"": [2.3380388735880895, 48.826120158066935], ""type"": ""Point""}";48.826120158066935, 2.3380388735880895
Les Petits Passages;33 rue Petit;J2P: Jaurès Pantin Petit;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;composteur cabane recup eau;associationj2p@gmail.com;;http://www.associationj2p.org/;;;"{""coordinates"": [2.382648686280655, 48.88495489479577], ""type"": ""Point""}";48.88495489479577, 2.382648686280655
Jardin Louis blanc;6 rue Louis Blanc;La Maison du canal – Régie de quartier paris 10;;Autre;Hors Ville de Paris;Paris Habitat;EBC;serre container spirale à aromatique marre terrasse bacs hors sol;accueil@lamaisonducanal.fr;;;;;"{""coordinates"": [2.369254909228453, 48.87895886105989], ""type"": ""Point""}";48.87895886105989, 2.369254909228453
Jardin partagé Tibhirine;71 bis boulevard Voltaire;jardin partagé truillot;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;cabane grillagée composteurs bacs;jardinpartage.truillot@gmail.com;;;;2021-07-27;"{""coordinates"": [2.3756066478128095, 48.86111271759496], ""type"": ""Point""}";48.86111271759496, 2.3756066478128095
Jardin Sahel;60 rue du sahel;Broc bel R;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;20 bacs un abri de jardin une arrivée d'eau une clôture un panneau d'affichage un composteur;brocbelr.paris@gmail.com;;;;;"{""coordinates"": [2.4076354872935903, 48.84044077603892], ""type"": ""Point""}";48.84044077603892, 2.4076354872935903
Le jardin de la félicité;face au 20 rue de la Sainte Félicité;Les amis du jardin de la félicité;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DJS;ZUG;système drainant composteurs cabane panneaux solaires;contact@jardin-de-la-felicite.fr;alain@jardin-de-la-felicite.fr;http://www.jardin-de-la-felicite.fr/;;;"{""coordinates"": [2.3044447476141263, 48.83910646822631], ""type"": ""Point""}";48.83910646822631, 2.3044447476141263
Ecobox;10 impasse de la Chapelle;Eco Box;;Conseil de Paris;Ville de Paris;DVD;;composteur poulailler mini bassin aquatique dans ancienne baignoire;jardinecobox@gmail.com;;;;;"{""coordinates"": [2.358629896864472, 48.89269558795182], ""type"": ""Point""}";48.89269558795182, 2.358629896864472
Le Bois Dormoy;2 bis cité de la Chapelle;Le Bois Dormoy;;Conseil de Paris;Ville de Paris;DEVE;ZUGPérimètre de localisation d'équipement... d'intérêt général à réaliser(LS100%);composteur cabane;dormoy@yahoo.fr;;http://boisdormoy.blogspot.com/;;;"{""coordinates"": [2.3592550559941037, 48.88727511126265], ""type"": ""Point""}";48.88727511126265, 2.3592550559941037
Les jardins partagés Labori Clignancourt;9 avenue de la porte de Clignancourt;;;Autre;Hors Ville de Paris;Paris Habitat;ZUG EVP;composteur cabane;;;;;2021-12-28;"{""coordinates"": [2.3438775713463937, 48.8983688596616], ""type"": ""Point""}";48.8983688596616, 2.3438775713463937
Charmante Petite Campagne Urbaine;36 quai de la Marne;Espace 19;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGEmplacement réservé;conteneur mare;contact@espace19.org;;http://www.espace19.org;;;"{""coordinates"": [2.3841294158747837, 48.89030603512159], ""type"": ""Point""}";48.89030603512159, 2.3841294158747837
Un p'tit bol d'herbe;6 rue de l'Ourcq;Un p'tit bol d'herbe;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGELV;composteur cabane toit végétalisé mare;briouxcath@gmail.com;;;;;"{""coordinates"": [2.384550972709326, 48.88803342590159], ""type"": ""Point""}";48.88803342590159, 2.384550972709326
Jardin Hérold;Jardin Hérold, 13 rue Francis Ponge;* Association Jardin solidaire : Espaces * Association de quartier : Débrouille et cie;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGEVP;conteneur mare broyeur? (debrouille et compagnie?);espaces@association-espaces.org;jardin.debrouille@gmail.com;association-espaces.org;http://www.debrouille.com/;;"{""coordinates"": [2.395081022659735, 48.88247359419764], ""type"": ""Point""}";48.88247359419764, 2.395081022659735
Le potager de Georges;3 Square Georges Contenot (accessible par le 75-77 rue Claude Decaen);Le potager de Georges;;Autre;Hors Ville de Paris;Paris Habitat;EVP;bacs compost cabane serre;;;;;;"{""coordinates"": [2.3970204559149453, 48.837708583502675], ""type"": ""Point""}";48.837708583502675, 2.3970204559149453
Montsouris;2 rue Gazan;Ecole Elementaire 87, bd Arago                               Ecole Maternelle 77, rue de la tombe Issoire;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;Chassis;;;;;2021-10-08;"{""coordinates"": [2.339807245701618, 48.823981785953656], ""type"": ""Point""}";48.823981785953656, 2.339807245701618
Pereire;21 rue Guersant;école maternelle Bayen - ecole Montessori;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;;;;;;"{""coordinates"": [2.289582618473421, 48.88079971805017], ""type"": ""Point""}";48.88079971805017, 2.289582618473421
Jardin suspendu;126 rue de Bagnolet;multi’colors;;Autre;Hors Ville de Paris;Paris Habitat;;cabane récupérateur d'eau serre tables de jardinage;mail@multicolors.org;;;;;"{""coordinates"": [2.4047934420827937, 48.86059123726569], ""type"": ""Point""}";48.86059123726569, 2.4047934420827937
Le Clos Garcia;17 rue Cristino Garcia;Le Clos Garcia;;Autre;Hors Ville de Paris;RIVP entretenu par la ville. Bail emphytéotique;ZUGEVP;cabane Récupération d'eau toilettes sèches;closgarcia@free.fr;;http://closgarcia.free.fr/;;;"{""coordinates"": [2.4134530277249566, 48.849883490779774], ""type"": ""Point""}";48.849883490779774, 2.4134530277249566
Leroy Sème;2 bis cité Leroy;Leroy Sème;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur recup eau cabane mare toit végétalisé Oyas;leroyseme@gmail.com;;http://leroyseme.canalblog.com/;;;"{""coordinates"": [2.3929043437209323, 48.87083609220711], ""type"": ""Point""}";48.87083609220711, 2.3929043437209323
Le jardin partagé Python Duvernois;39 rue Joseph Pyton;Tous Ensemble;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;;tousensemblecpd@gmail.com;;;;;"{""coordinates"": [2.4126080548018263, 48.86412997962658], ""type"": ""Point""}";48.86412997962658, 2.4126080548018263
Jardin partagé Césaria Evora;33 A quai de la gironde;Rosa Paks (Paris);Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;revêtement en stabilisé - espace de convivialité en pavés enherbés - 1 conteneur -  bacs - clôture avec un portillon;contact@centrerosaparks.paris;;;;;"{""coordinates"": [2.3802824487365055, 48.89806687594493], ""type"": ""Point""}";48.89806687594493, 2.3802824487365055
L'accueillette du 9ème;TEP Valeyre 24 rue de Rochechouart;L'Accueillette du 9°;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DJS;ZUG;abris;laccueillette@gmail.com;;;;;"{""coordinates"": [2.345021513689842, 48.87796726577678], ""type"": ""Point""}";48.87796726577678, 2.345021513689842
Parcelle pédagogique du Square René Binet;42 rue René Bidet;Ecole Maternelle Françoise Dorléac;;;Ville de Paris;DEVE;;verger, ferme pédagogique , arrosage automatique goutte;nathalie.ritter@paris.fr;;;;;"{""coordinates"": [2.338360057205291, 48.899785703064396], ""type"": ""Point""}";48.899785703064396, 2.338360057205291
Jardin de Perlimpinpin;Parc Clichy-Batignolles - Martin Luther-King, 166 rue du Cardinet;Jardin de Perlimpinpin;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;ZUV;composteurs cabane mare;michel_dannielou@yahoo.fr;;;;;"{""coordinates"": [2.316913557404839, 48.88976025254181], ""type"": ""Point""}";48.88976025254181, 2.316913557404839
Commun jardin;Jardin Rosa Luxemburg 63 ter rue Riquet;Vergers Urbains;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;Local aquaponie;vergersurbains@gmail.com;;http://vergersurbains.org/;;;"{""coordinates"": [2.3638026123075595, 48.8898074160027], ""type"": ""Point""}";48.8898074160027, 2.3638026123075595
Jardin des Deux Nèthes;Square des deux Nèthes 24 avenue de Clichy;Cultures et Potager 17/18;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane;culturesetpotager@orange.fr;;;;2023-12-23;"{""coordinates"": [2.3267854747337924, 48.885280533908784], ""type"": ""Point""}";48.885280533908784, 2.3267854747337924
1,2,3 jardins;59 rue St blaise;1,2,3 jardins;;Autre;Hors Ville de Paris;Paris Habitat;ZUG;composteur;;;;;;"{""coordinates"": [2.4082562389647664, 48.85743323117559], ""type"": ""Point""}";48.85743323117559, 2.4082562389647664
Le jardin de la gare de Reuilly;Maison des associations du 12e 181 avenue Daumesnil;Urbanescence;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;cabane - bacs hors sol;contact@urbanescence.org;;;;;"{""coordinates"": [2.3925067778942504, 48.84048781258281], ""type"": ""Point""}";48.84048781258281, 2.3925067778942504
Jardin de la résidence des Récollets;148 rue du Faubourg St Martin;Jardin et PLU's;;Autre;Hors Ville de Paris;RIVP;ZUG;;jardinsetplus10@googlegroups.com;;http://jardinsetplus.tumblr.com;;;"{""coordinates"": [2.3600203357805833, 48.875416611034055], ""type"": ""Point""}";48.875416611034055, 2.3600203357805833
Jardin Jean Genet;156 rue Raymond Losserand;Jardin Jean Genet;;Autre;Hors Ville de Paris;Paris Habitat;ZUGEVP;cabane;clergerie.cath@free.fr;;http://jardin-jean-genet.blogspot.com/;;;"{""coordinates"": [2.3113377449307855, 48.83058722620449], ""type"": ""Point""}";48.83058722620449, 2.3113377449307855
Les haies partagées;Jardin Casque d’Or 39b rue des Haies;Ass. du Jardin Partagé de Casque d’Or;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur Récupération d'eau mare;haies.partagees@gmail.com;;;;;"{""coordinates"": [2.4014026104821258, 48.85340083418658], ""type"": ""Point""}";48.85340083418658, 2.4014026104821258
Les ombres potagères;20 rue de Fontarabie;Les Ombres Potagères;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;eau abris cloture;ombrespotageres@gmail.com;;;;;"{""coordinates"": [2.4011426104318043, 48.857510153823895], ""type"": ""Point""}";48.857510153823895, 2.4011426104318043
Jardin partagé Soleil Blaise;Square des Cardeurs;Centre social Soleil Blaise;;Autre;Hors Ville de Paris;RIVP+EFIDIS;;compoteurs collectifs dpe;soleilblaise@free.fr;;http://soleilblaise.org/;;;"{""coordinates"": [2.407219234473548, 48.85830145010564], ""type"": ""Point""}";48.85830145010564, 2.407219234473548
Le Jardin du Carrousel;Place Gilbert Perroy;Le Jardin du Carrousel;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;décaissement + apport de TV sur 30 à 80cm + système drainant - 1BA - 1 coffre - 1 panneau - 1 clôture en ganivelle;jardinducarrousel@gmail.com;;;;;"{""coordinates"": [2.3255166094199184, 48.8323625303162], ""type"": ""Point""}";48.8323625303162, 2.3255166094199184
Jardin du coin;18 rue du Chalet;jardin du coin;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;Emplacement réservé;cabane composteur espace de convivialité bacs sacs;jardinducoin10@gmail.com;;;;;"{""coordinates"": [2.3734014902052643, 48.873828813690864], ""type"": ""Point""}";48.873828813690864, 2.3734014902052643
Jardin de Quentin;3 rue d aligre;Ligue de l'enseignement;;;Ville de Paris;DJS;;;maisondesensembles@ligueparis.org;;;;;"{""coordinates"": [2.3772287098110865, 48.848016993252], ""type"": ""Point""}";48.848016993252, 2.3772287098110865
Le Males'Herbes;rue Rodolf Noureev;Association des Hauts de Malesherbes;;Conseil de Paris;Ville de Paris;DEVE;ZUV;terrassement bacs;hautsdemalesherbes@gmail.com;;;;;"{""coordinates"": [2.3059263853521976, 48.89182737618246], ""type"": ""Point""}";48.89182737618246, 2.3059263853521976
Jardin partagé Stalingrad;240 bd de la Villette;Jardin Partagé Stalingrad;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;cabane bacs bacs pmr;jpstalingrad@gmail.com;;;;;"{""coordinates"": [2.3655646229977676, 48.88451516896815], ""type"": ""Point""}";48.88451516896815, 2.3655646229977676
Jardin des Tourelles;18 passage des tourelles;Jardin des Tourelles;;Autre;Hors Ville de Paris;Paris Habitat;;;jardin.tourelles@gmail.com;;;;;"{""coordinates"": [2.4042650789250652, 48.87551886209517], ""type"": ""Point""}";48.87551886209517, 2.4042650789250652
Jardin Partagé du Square des Missions Etrangères;105 rue du bac;Le jardin partagé du square des Missions Etrangères;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;PSMV 7ème arrtEspace Vert Public à protéger;hôtel à insectes meuble en palette bacs en palette abri;aygd@laposte.net;;;;;"{""coordinates"": [2.323800570471246, 48.85258616472082], ""type"": ""Point""}";48.85258616472082, 2.323800570471246
La terrasse du T3;Square de la Justice 60 rue de la justice;La terrasse du T3;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;composteur armoire à outils abri à insectes Récupération d'eau;terrassedut3@gmail.com;;https://www.laterrassedut3.org/;https://www.facebook.com/LaterrasseduT3;;"{""coordinates"": [2.4086870197587302, 48.8684418354704], ""type"": ""Point""}";48.8684418354704, 2.4086870197587302
Juliette Dodu;1 rue de Sambre-Et-Meuse;école maternelle Vicq d'Azir;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;évier pour enfants - espace pour outils le long de la cabane fermé avec une porte;;;;;;"{""coordinates"": [2.3692916562197768, 48.875439132450204], ""type"": ""Point""}";48.875439132450204, 2.3692916562197768
Jean Aicard;16 avenue Jean Aicard;Conseil d'arrondissementTTP Hôpitaux Saint Maurice;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;4 plessis 2m x 2 m - local;mariondeltell@hotmail.com;;;;;"{""coordinates"": [2.380997393282343, 48.865575893825856], ""type"": ""Point""}";48.865575893825856, 2.380997393282343
colbert;159 rue de charonne;culture en herbe;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;coffre;culturesenherbes2@gmail.com;;;;;"{""coordinates"": [2.3897220231673, 48.85609813526598], ""type"": ""Point""}";48.85609813526598, 2.3897220231673
le jardin des peintres;23 rue Rubens;Fédération Nationale des Jardins Familiaux et Collectifs;Conseil d'arrondissement;Conseil d'arrondissement;Hors Ville de Paris;Paris Habitat;ZUG;composteur cabane;contact@jardins-familiaux.asso.fr;;http://www.jardins-familiaux.asso.fr/;;;"{""coordinates"": [2.3564006158191493, 48.83366437289823], ""type"": ""Point""}";48.83366437289823, 2.3564006158191493
Fleurs de Bitume;Square Pierre Adrien Dalpayrat,  23 rue du Cotentin;Fleurs de Bitume;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane abri à insectes;fleursdebitume@yahoo.fr;;https://fleursdebitume.jimdofree.com/;;;"{""coordinates"": [2.3135255400984285, 48.8385295302547], ""type"": ""Point""}";48.8385295302547, 2.3135255400984285
Le Potager du Clos;Square du Clos Feuquières 30 rue Desnouettes;le potager du clos;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVEBC;cabane terrasse en platelage bois 2 bacs en hauteur composteurs;lepotagerduclos@laposte.net;;http://Lepotagerduclos.wordpress.com;;;"{""coordinates"": [2.290521690869009, 48.83609124595633], ""type"": ""Point""}";48.83609124595633, 2.290521690869009
Le p'tit jardin d'Eugénie;23 rue des lilas;Le p'tit jardin d'Eugénie;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;table de jardinage;jardindeugenie@gmail.com;;;;;"{""coordinates"": [2.3959724284229513, 48.878860645593946], ""type"": ""Point""}";48.878860645593946, 2.3959724284229513
Le Jardin de Bonne;5 rue Bellan;Aux cales pieds;;Conseil de Paris;Ville de Paris;DLH;espace libre à végétaliser;bacs sacs;jardindebonne@gmail.comet;ouisabelle@kelloucq.com;;;;"{""coordinates"": [2.3466607395550128, 48.866387833225886], ""type"": ""Point""}";48.866387833225886, 2.3466607395550128
Jardin Elie Faure;Résidence RIVP Elie Faure 1 rue Elie Faure;Ville en herbes;;Autre;Hors Ville de Paris;RIVP;ZUG;lombricompost hôtel à insectes;villeenherbes@gmail.com;;http://villeenherbes.over-blog.com/;;;"{""coordinates"": [2.415492703085865, 48.84541825181083], ""type"": ""Point""}";48.84541825181083, 2.415492703085865
Jardin de la Folie Titon;28 rue Chanzy;Association de la Folie Titon;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane récupérateur d'eau de pluie gite à insectes toiture végétalisée;la-folie-titon@outlook.fr;;https://association-folie-titon.blogspot.fr;https://twitter.com/AssoFolieTiton;;"{""coordinates"": [2.385342544561932, 48.852675071392014], ""type"": ""Point""}";48.852675071392014, 2.385342544561932
Les jardins de la rue verte;Centre d’animation Maurice Ravel 6 avenue Maurice Ravel (différents sites dans cette rue, cf fiche );Ligue de l’enseignement(avec délégation de service public au Centre d’animation Maurice Ravel );;Conseil d'arrondissement;Ville de Paris;DJS;;marepoulailler;;;;;;"{""coordinates"": [2.4117467144502993, 48.841806193629694], ""type"": ""Point""}";48.841806193629694, 2.4117467144502993
Bela Bartok;26 place de Brazzaville;Ecole élémentaire 25, rue Rouelle - Centre de loisirs élémentaire Rouelle - Ecole maternelle et élémentaire Emeriau;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;2 coffres à outils;;;;;;"{""coordinates"": [2.285665767845934, 48.85097542093542], ""type"": ""Point""}";48.85097542093542, 2.285665767845934
Jardin parisien de Pantin;18 rue Forceval;Le Jardin parisien de Pantin;;Conseil de Paris;Ville de Paris;DVD;;"50cm de terre végétale d’apport séparée de la terre d’origine par une couche de gravier et un  géotextile pour la partie Est du jardin et pour la bande de terre le long du grillage avec le talus du périphérique
-20cm de terre végétale d’apport séparée de";jardinparisiendepantin@gmail.com;;;;;"{""coordinates"": [2.3913803548377888, 48.90048935450638], ""type"": ""Point""}";48.90048935450638, 2.3913803548377888
Jardin d'Olga;Square Olga Bancic 34 rue Godefroy Cavaignac;Le Jardin d'Olga;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane composteur surface = 52m² composés de 13 bacs de 4m² chacun gite à insectes, nichoirs à oiseaux;jardindolga@gmail.com;;http://jardindolga.canalblog.com;https://www.facebook.com/Le-Jardin-dOlga-108103513915114;;"{""coordinates"": [2.3806831425668875, 48.856081949101025], ""type"": ""Point""}";48.856081949101025, 2.3806831425668875
Le Jardin des oursons de saint Lambert;Square Saint Lambert, 2 rue Jean Formige;le jardin des oursons saint Lambert;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVEBCinscrit aux monuments historiques;cabane terrasse en platelage bois composteurs;jardindesoursons@gmail.com;;http://www.lejardindesoursons.sitew.fr/;;;"{""coordinates"": [2.297522496966647, 48.841739957697754], ""type"": ""Point""}";48.841739957697754, 2.297522496966647
Jardin Fessart;45 rue Fessart;Le jardin Fessart;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGPérimètre de localisation d'équipement… d'intérêt général;composteur cabane;jardinfessart@numericable.fr;;http://jardin-fessart.over-blog.com/;;;"{""coordinates"": [2.384054341803436, 48.87671445699608], ""type"": ""Point""}";48.87671445699608, 2.384054341803436
Le jardin de la Cité Aubry;2 bis cité Aubry;Le jardin de la Cité Aubry;;Conseil de Paris;Ville de Paris;DEVE;ZUGEmplacement réservé pour espace vert public;;lejardindelacite@gmail.com;;https://www.lejardindelacite.com;https://fr-fr.facebook.com/jardinciteaubry;;"{""coordinates"": [2.395538392352498, 48.85717231786922], ""type"": ""Point""}";48.85717231786922, 2.395538392352498
Jardin partagé Berthe Weill;3 rue de Thorigny;Le Jardin Partagé Berthe Weill;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;décaissement au sol sur 60 à 80 cm d’épaisseur avec un apport de TV, une zone d’accès en stabilisé de 8 m2, un point d’eau avec robinet amovible, une corbeille de propreté type Bagatelle, une jardinière PMR en bois, un coffre en bois pour petit outillage;jardinbertheweill@gmail.com;;;;;"{""coordinates"": [2.3622479842996857, 48.859551541171435], ""type"": ""Point""}";48.859551541171435, 2.3622479842996857
Yilmaz Güney;25, 27 rue de l'Echiquier;école élémentaire 34 rue du Faubourg Saint Denis;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;;;;;;"{""coordinates"": [2.3507069035640717, 48.87111003164851], ""type"": ""Point""}";48.87111003164851, 2.3507069035640717
Jardin des Thermopyles;6 rue des thermopyles;Association Urbanisme et Démocratie Udé !;;Conseil de Paris;Ville de Paris;DEVE;EVP;;udecontact@proton.me;;;;;"{""coordinates"": [2.3192899211425235, 48.83226948884327], ""type"": ""Point""}";48.83226948884327, 2.3192899211425235
Jardin de Falbala;Jardin du Moulin de la Vierge 20 rue de Gergovie;le Jardin partagé de Falbala;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane;jardindefalbala@gmail.com;;http://jardindefalbala.blogspot.com/;;;"{""coordinates"": [2.314157934045679, 48.8339844168798], ""type"": ""Point""}";48.8339844168798, 2.314157934045679
